Year,Age,Gender,Educational Attainment,Race,Personal Income,Population Count
2008,00 to 17,Male,No high school diploma,Hispanic,No Income,310099
2008,00 to 17,Male,No high school diploma,Other,"$5,000 to $9,999",1523
2008,00 to 17,Male,No high school diploma,Other,"$10,000 to $14,999",222
2008,00 to 17,Male,No high school diploma,Other,"$15,000 to $24,999",54
2008,00 to 17,Male,No high school diploma,Other,"$25,000 to $34,999",0
2008,00 to 17,Male,No high school diploma,Other,"$35,000 to $49,999",0
2008,00 to 17,Male,No high school diploma,Other,"$50,000 to $74,999",62
2008,00 to 17,Male,No high school diploma,Other,"$75,000 and over",0
2008,00 to 17,Male,No high school diploma,Other,No Income,27904
2008,00 to 17,Male,High school or equivalent,White,"$5,000 to $9,999",1274
2008,00 to 17,Male,High school or equivalent,White,"$10,000 to $14,999",381
2008,00 to 17,Male,High school or equivalent,White,"$15,000 to $24,999",0
2008,00 to 17,Male,High school or equivalent,White,"$25,000 to $34,999",0
2008,00 to 17,Male,High school or equivalent,White,"$35,000 to $49,999",0
2008,00 to 17,Male,High school or equivalent,White,"$50,000 to $74,999",0
2008,00 to 17,Male,High school or equivalent,White,"$75,000 and over",0
2008,00 to 17,Male,High school or equivalent,White,No Income,4529
2008,00 to 17,Male,High school or equivalent,African American,"$5,000 to $9,999",205
2008,00 to 17,Male,High school or equivalent,African American,"$10,000 to $14,999",0
2008,00 to 17,Male,High school or equivalent,African American,"$15,000 to $24,999",0
2008,00 to 17,Male,High school or equivalent,African American,"$25,000 to $34,999",0
2008,00 to 17,Male,High school or equivalent,African American,"$35,000 to $49,999",0
2008,00 to 17,Male,High school or equivalent,African American,"$50,000 to $74,999",0
2008,00 to 17,Male,High school or equivalent,African American,"$75,000 and over",0
2008,00 to 17,Male,High school or equivalent,African American,No Income,744
2008,00 to 17,Male,High school or equivalent,Asian,"$5,000 to $9,999",66
2008,00 to 17,Male,High school or equivalent,Asian,"$10,000 to $14,999",218
2008,00 to 17,Male,High school or equivalent,Asian,"$15,000 to $24,999",0
2008,00 to 17,Male,High school or equivalent,Asian,"$25,000 to $34,999",0
2008,00 to 17,Male,High school or equivalent,Asian,"$35,000 to $49,999",0
2008,00 to 17,Male,High school or equivalent,Asian,"$50,000 to $74,999",0
2008,00 to 17,Male,High school or equivalent,Asian,"$75,000 and over",63
2008,00 to 17,Male,High school or equivalent,Asian,No Income,2345
2008,00 to 17,Male,High school or equivalent,Hispanic,"$5,000 to $9,999",949
2008,00 to 17,Male,High school or equivalent,Hispanic,"$10,000 to $14,999",195
2008,00 to 17,Male,High school or equivalent,Hispanic,"$15,000 to $24,999",286
2008,00 to 17,Male,High school or equivalent,Hispanic,"$25,000 to $34,999",268
2008,00 to 17,Male,High school or equivalent,Hispanic,"$35,000 to $49,999",0
2008,00 to 17,Male,High school or equivalent,Hispanic,"$50,000 to $74,999",0
2008,00 to 17,Male,High school or equivalent,Hispanic,"$75,000 and over",97
2008,00 to 17,Male,High school or equivalent,Hispanic,No Income,6170
2008,00 to 17,Male,High school or equivalent,Other,"$5,000 to $9,999",0
2008,00 to 17,Male,High school or equivalent,Other,"$10,000 to $14,999",119
2008,00 to 17,Male,High school or equivalent,Other,"$15,000 to $24,999",0
2008,00 to 17,Male,High school or equivalent,Other,"$25,000 to $34,999",0
2008,00 to 17,Male,High school or equivalent,Other,"$35,000 to $49,999",0
2008,00 to 17,Male,High school or equivalent,Other,"$50,000 to $74,999",0
2008,00 to 17,Male,High school or equivalent,Other,"$75,000 and over",0
2008,00 to 17,Male,High school or equivalent,Other,No Income,420
2008,00 to 17,Male,"Some college, less than 4-yr degree",White,"$5,000 to $9,999",159
2008,00 to 17,Male,"Some college, less than 4-yr degree",White,"$10,000 to $14,999",250
2008,00 to 17,Male,"Some college, less than 4-yr degree",White,"$15,000 to $24,999",89
2008,00 to 17,Male,"Some college, less than 4-yr degree",White,"$25,000 to $34,999",93
2008,00 to 17,Male,"Some college, less than 4-yr degree",White,"$35,000 to $49,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",White,"$50,000 to $74,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",White,"$75,000 and over",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",White,No Income,981
2008,00 to 17,Male,"Some college, less than 4-yr degree",African American,"$5,000 to $9,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",African American,"$10,000 to $14,999",334
2008,00 to 17,Male,"Some college, less than 4-yr degree",African American,"$15,000 to $24,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",African American,"$25,000 to $34,999",110
2008,00 to 17,Male,"Some college, less than 4-yr degree",African American,"$35,000 to $49,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",African American,"$50,000 to $74,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",African American,"$75,000 and over",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",African American,No Income,0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Asian,"$5,000 to $9,999",185
2008,00 to 17,Male,"Some college, less than 4-yr degree",Asian,"$10,000 to $14,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Asian,"$15,000 to $24,999",58
2008,00 to 17,Male,"Some college, less than 4-yr degree",Asian,"$25,000 to $34,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Asian,"$35,000 to $49,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Asian,"$50,000 to $74,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Asian,"$75,000 and over",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Asian,No Income,1540
2008,00 to 17,Male,"Some college, less than 4-yr degree",Hispanic,"$5,000 to $9,999",361
2008,00 to 17,Male,"Some college, less than 4-yr degree",Hispanic,"$10,000 to $14,999",132
2008,00 to 17,Male,"Some college, less than 4-yr degree",Hispanic,"$15,000 to $24,999",203
2008,00 to 17,Male,"Some college, less than 4-yr degree",Hispanic,"$25,000 to $34,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Hispanic,"$35,000 to $49,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Hispanic,"$50,000 to $74,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Hispanic,"$75,000 and over",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Hispanic,No Income,933
2008,00 to 17,Male,"Some college, less than 4-yr degree",Other,"$5,000 to $9,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Other,"$10,000 to $14,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Other,"$15,000 to $24,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Other,"$25,000 to $34,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Other,"$35,000 to $49,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Other,"$50,000 to $74,999",0
2008,00 to 17,Male,"Some college, less than 4-yr degree",Other,"$75,000 and over",76
2008,00 to 17,Male,"Some college, less than 4-yr degree",Other,No Income,120
2008,00 to 17,Male,Bachelor's degree or higher,White,"$5,000 to $9,999",0
2008,00 to 17,Male,Bachelor's degree or higher,White,"$10,000 to $14,999",0
2008,00 to 17,Male,Bachelor's degree or higher,White,"$15,000 to $24,999",0
2008,00 to 17,Male,Bachelor's degree or higher,White,"$25,000 to $34,999",0
2008,00 to 17,Male,Bachelor's degree or higher,White,"$35,000 to $49,999",0
2008,00 to 17,Male,Bachelor's degree or higher,White,"$50,000 to $74,999",0
2008,00 to 17,Male,Bachelor's degree or higher,White,"$75,000 and over",0
2008,00 to 17,Male,Bachelor's degree or higher,White,No Income,0
2008,00 to 17,Male,Bachelor's degree or higher,African American,"$5,000 to $9,999",0
2008,00 to 17,Male,Bachelor's degree or higher,African American,"$10,000 to $14,999",0
2008,00 to 17,Male,Bachelor's degree or higher,African American,"$15,000 to $24,999",0
2008,00 to 17,Male,Bachelor's degree or higher,African American,"$25,000 to $34,999",0
2008,00 to 17,Male,Bachelor's degree or higher,African American,"$35,000 to $49,999",0
2008,00 to 17,Male,Bachelor's degree or higher,African American,"$50,000 to $74,999",0
2008,00 to 17,Male,Bachelor's degree or higher,African American,"$75,000 and over",0
2008,00 to 17,Male,Bachelor's degree or higher,African American,No Income,0
2008,00 to 17,Male,Bachelor's degree or higher,Asian,"$5,000 to $9,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Asian,"$10,000 to $14,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Asian,"$15,000 to $24,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Asian,"$25,000 to $34,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Asian,"$35,000 to $49,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Asian,"$50,000 to $74,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Asian,"$75,000 and over",0
2008,00 to 17,Male,Bachelor's degree or higher,Asian,No Income,0
2008,00 to 17,Male,Bachelor's degree or higher,Hispanic,"$5,000 to $9,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Hispanic,"$10,000 to $14,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Hispanic,"$15,000 to $24,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Hispanic,"$25,000 to $34,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Hispanic,"$35,000 to $49,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Hispanic,"$50,000 to $74,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Hispanic,"$75,000 and over",0
2008,00 to 17,Male,Bachelor's degree or higher,Hispanic,No Income,0
2008,00 to 17,Male,Bachelor's degree or higher,Other,"$5,000 to $9,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Other,"$10,000 to $14,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Other,"$15,000 to $24,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Other,"$25,000 to $34,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Other,"$35,000 to $49,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Other,"$50,000 to $74,999",0
2008,00 to 17,Male,Bachelor's degree or higher,Other,"$75,000 and over",0
2008,00 to 17,Male,Bachelor's degree or higher,Other,No Income,0
2008,00 to 17,Female,No high school diploma,White,"$5,000 to $9,999",10579
2008,00 to 17,Female,No high school diploma,White,"$10,000 to $14,999",3328
2008,00 to 17,Female,No high school diploma,White,"$15,000 to $24,999",1542
2008,00 to 17,Female,No high school diploma,White,"$25,000 to $34,999",219
2008,00 to 17,Female,No high school diploma,White,"$35,000 to $49,999",0
2008,00 to 17,Female,No high school diploma,White,"$50,000 to $74,999",41
2008,00 to 17,Female,No high school diploma,White,"$75,000 and over",89
2008,00 to 17,Female,No high school diploma,White,No Income,174187
2008,00 to 17,Female,No high school diploma,African American,"$5,000 to $9,999",4029
2008,00 to 17,Female,No high school diploma,African American,"$10,000 to $14,999",463
2008,00 to 17,Female,No high school diploma,African American,"$15,000 to $24,999",77
2008,00 to 17,Female,No high school diploma,African American,"$25,000 to $34,999",0
2008,00 to 17,Female,No high school diploma,African American,"$35,000 to $49,999",94
2008,00 to 17,Female,No high school diploma,African American,"$50,000 to $74,999",70
2008,00 to 17,Female,No high school diploma,African American,"$75,000 and over",0
2008,00 to 17,Female,No high school diploma,African American,No Income,40396
2008,00 to 17,Female,No high school diploma,Asian,"$5,000 to $9,999",3080
2008,00 to 17,Female,No high school diploma,Asian,"$10,000 to $14,999",397
2008,00 to 17,Female,No high school diploma,Asian,"$15,000 to $24,999",374
2008,00 to 17,Female,No high school diploma,Asian,"$25,000 to $34,999",0
2008,00 to 17,Female,No high school diploma,Asian,"$35,000 to $49,999",69
2008,00 to 17,Female,No high school diploma,Asian,"$50,000 to $74,999",0
2008,00 to 17,Female,No high school diploma,Asian,"$75,000 and over",0
2008,00 to 17,Female,No high school diploma,Asian,No Income,63796
2008,00 to 17,Female,No high school diploma,Hispanic,"$5,000 to $9,999",11686
2008,00 to 17,Female,No high school diploma,Hispanic,"$10,000 to $14,999",1588
2008,00 to 17,Female,No high school diploma,Hispanic,"$15,000 to $24,999",1308
2008,00 to 17,Female,No high school diploma,Hispanic,"$25,000 to $34,999",73
2008,00 to 17,Female,No high school diploma,Hispanic,"$35,000 to $49,999",57
2008,00 to 17,Female,No high school diploma,Hispanic,"$50,000 to $74,999",0
2008,00 to 17,Female,No high school diploma,Hispanic,"$75,000 and over",0
2008,00 to 17,Female,No high school diploma,Hispanic,No Income,293308
2008,00 to 17,Female,No high school diploma,Other,"$5,000 to $9,999",1629
2008,00 to 17,Female,No high school diploma,Other,"$10,000 to $14,999",547
2008,00 to 17,Female,No high school diploma,Other,"$15,000 to $24,999",45
2008,00 to 17,Female,No high school diploma,Other,"$25,000 to $34,999",0
2008,00 to 17,Female,No high school diploma,Other,"$35,000 to $49,999",0
2008,00 to 17,Female,No high school diploma,Other,"$50,000 to $74,999",0
2008,00 to 17,Female,No high school diploma,Other,"$75,000 and over",0
2008,00 to 17,Female,No high school diploma,Other,No Income,26029
2008,00 to 17,Female,High school or equivalent,White,"$5,000 to $9,999",1830
2008,00 to 17,Female,High school or equivalent,White,"$10,000 to $14,999",124
2008,00 to 17,Female,High school or equivalent,White,"$15,000 to $24,999",627
2008,00 to 17,Female,High school or equivalent,White,"$25,000 to $34,999",298
2008,00 to 17,Female,High school or equivalent,White,"$35,000 to $49,999",0
2008,00 to 17,Female,High school or equivalent,White,"$50,000 to $74,999",0
2008,00 to 17,Female,High school or equivalent,White,"$75,000 and over",0
2008,00 to 17,Female,High school or equivalent,White,No Income,4576
2008,00 to 17,Female,High school or equivalent,African American,"$5,000 to $9,999",0
2008,00 to 17,Female,High school or equivalent,African American,"$10,000 to $14,999",0
2008,00 to 17,Female,High school or equivalent,African American,"$15,000 to $24,999",0
2008,00 to 17,Female,High school or equivalent,African American,"$25,000 to $34,999",0
2008,00 to 17,Female,High school or equivalent,African American,"$35,000 to $49,999",0
2008,00 to 17,Female,High school or equivalent,African American,"$50,000 to $74,999",0
2008,00 to 17,Female,High school or equivalent,African American,"$75,000 and over",0
2008,00 to 17,Female,High school or equivalent,African American,No Income,1533
2008,00 to 17,Female,High school or equivalent,Asian,"$5,000 to $9,999",117
2008,00 to 17,Female,High school or equivalent,Asian,"$10,000 to $14,999",77
2008,00 to 17,Female,High school or equivalent,Asian,"$15,000 to $24,999",282
2008,00 to 17,Female,High school or equivalent,Asian,"$25,000 to $34,999",0
2008,00 to 17,Female,High school or equivalent,Asian,"$35,000 to $49,999",0
2008,00 to 17,Female,High school or equivalent,Asian,"$50,000 to $74,999",0
2008,00 to 17,Female,High school or equivalent,Asian,"$75,000 and over",0
2008,00 to 17,Female,High school or equivalent,Asian,No Income,1710
2008,00 to 17,Female,High school or equivalent,Hispanic,"$5,000 to $9,999",972
2008,00 to 17,Female,High school or equivalent,Hispanic,"$10,000 to $14,999",99
2008,00 to 17,Female,High school or equivalent,Hispanic,"$15,000 to $24,999",0
2008,00 to 17,Female,High school or equivalent,Hispanic,"$25,000 to $34,999",0
2008,00 to 17,Female,High school or equivalent,Hispanic,"$35,000 to $49,999",0
2008,00 to 17,Female,High school or equivalent,Hispanic,"$50,000 to $74,999",0
2008,00 to 17,Female,High school or equivalent,Hispanic,"$75,000 and over",0
2008,00 to 17,Female,High school or equivalent,Hispanic,No Income,6810
2008,00 to 17,Female,High school or equivalent,Other,"$5,000 to $9,999",93
2008,00 to 17,Female,High school or equivalent,Other,"$10,000 to $14,999",57
2008,00 to 17,Female,High school or equivalent,Other,"$15,000 to $24,999",0
2008,00 to 17,Female,High school or equivalent,Other,"$25,000 to $34,999",0
2008,00 to 17,Female,High school or equivalent,Other,"$35,000 to $49,999",0
2008,00 to 17,Female,High school or equivalent,Other,"$50,000 to $74,999",0
2008,00 to 17,Female,High school or equivalent,Other,"$75,000 and over",0
2008,00 to 17,Female,High school or equivalent,Other,No Income,219
2008,00 to 17,Female,"Some college, less than 4-yr degree",White,"$5,000 to $9,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",White,"$10,000 to $14,999",328
2008,00 to 17,Female,"Some college, less than 4-yr degree",White,"$15,000 to $24,999",293
2008,00 to 17,Female,"Some college, less than 4-yr degree",White,"$25,000 to $34,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",White,"$35,000 to $49,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",White,"$50,000 to $74,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",White,"$75,000 and over",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",White,No Income,2279
2008,00 to 17,Female,"Some college, less than 4-yr degree",African American,"$5,000 to $9,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",African American,"$10,000 to $14,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",African American,"$15,000 to $24,999",71
2008,00 to 17,Female,"Some college, less than 4-yr degree",African American,"$25,000 to $34,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",African American,"$35,000 to $49,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",African American,"$50,000 to $74,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",African American,"$75,000 and over",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",African American,No Income,419
2008,00 to 17,Female,"Some college, less than 4-yr degree",Asian,"$5,000 to $9,999",206
2008,00 to 17,Female,"Some college, less than 4-yr degree",Asian,"$10,000 to $14,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Asian,"$15,000 to $24,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Asian,"$25,000 to $34,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Asian,"$35,000 to $49,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Asian,"$50,000 to $74,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Asian,"$75,000 and over",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Asian,No Income,583
2008,00 to 17,Female,"Some college, less than 4-yr degree",Hispanic,"$5,000 to $9,999",590
2008,00 to 17,Female,"Some college, less than 4-yr degree",Hispanic,"$10,000 to $14,999",261
2008,00 to 17,Female,"Some college, less than 4-yr degree",Hispanic,"$15,000 to $24,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Hispanic,"$25,000 to $34,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Hispanic,"$35,000 to $49,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Hispanic,"$50,000 to $74,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Hispanic,"$75,000 and over",108
2008,00 to 17,Female,"Some college, less than 4-yr degree",Hispanic,No Income,2790
2008,00 to 17,Female,"Some college, less than 4-yr degree",Other,"$5,000 to $9,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Other,"$10,000 to $14,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Other,"$15,000 to $24,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Other,"$25,000 to $34,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Other,"$35,000 to $49,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Other,"$50,000 to $74,999",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Other,"$75,000 and over",0
2008,00 to 17,Female,"Some college, less than 4-yr degree",Other,No Income,311
2008,00 to 17,Female,Bachelor's degree or higher,White,"$5,000 to $9,999",0
2008,00 to 17,Female,Bachelor's degree or higher,White,"$10,000 to $14,999",0
2008,00 to 17,Female,Bachelor's degree or higher,White,"$15,000 to $24,999",0
2008,00 to 17,Female,Bachelor's degree or higher,White,"$25,000 to $34,999",0
2008,00 to 17,Female,Bachelor's degree or higher,White,"$35,000 to $49,999",0
2008,00 to 17,Female,Bachelor's degree or higher,White,"$50,000 to $74,999",0
2008,00 to 17,Female,Bachelor's degree or higher,White,"$75,000 and over",0
2008,00 to 17,Female,Bachelor's degree or higher,White,No Income,0
2008,00 to 17,Female,Bachelor's degree or higher,African American,"$5,000 to $9,999",0
2008,00 to 17,Female,Bachelor's degree or higher,African American,"$10,000 to $14,999",0
2008,00 to 17,Female,Bachelor's degree or higher,African American,"$15,000 to $24,999",0
2008,00 to 17,Female,Bachelor's degree or higher,African American,"$25,000 to $34,999",0
2008,00 to 17,Female,Bachelor's degree or higher,African American,"$35,000 to $49,999",0
2008,00 to 17,Female,Bachelor's degree or higher,African American,"$50,000 to $74,999",0
2008,00 to 17,Female,Bachelor's degree or higher,African American,"$75,000 and over",0
2008,00 to 17,Female,Bachelor's degree or higher,African American,No Income,0
2008,00 to 17,Female,Bachelor's degree or higher,Asian,"$5,000 to $9,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Asian,"$10,000 to $14,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Asian,"$15,000 to $24,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Asian,"$25,000 to $34,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Asian,"$35,000 to $49,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Asian,"$50,000 to $74,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Asian,"$75,000 and over",0
2008,00 to 17,Female,Bachelor's degree or higher,Asian,No Income,0
2008,00 to 17,Female,Bachelor's degree or higher,Hispanic,"$5,000 to $9,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Hispanic,"$10,000 to $14,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Hispanic,"$15,000 to $24,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Hispanic,"$25,000 to $34,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Hispanic,"$35,000 to $49,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Hispanic,"$50,000 to $74,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Hispanic,"$75,000 and over",0
2008,00 to 17,Female,Bachelor's degree or higher,Hispanic,No Income,0
2008,00 to 17,Female,Bachelor's degree or higher,Other,"$5,000 to $9,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Other,"$10,000 to $14,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Other,"$15,000 to $24,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Other,"$25,000 to $34,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Other,"$35,000 to $49,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Other,"$50,000 to $74,999",0
2008,00 to 17,Female,Bachelor's degree or higher,Other,"$75,000 and over",0
2008,00 to 17,Female,Bachelor's degree or higher,Other,No Income,0
2008,18 to 64,Male,No high school diploma,White,"$5,000 to $9,999",36856
2008,18 to 64,Male,No high school diploma,White,"$10,000 to $14,999",42936
2008,18 to 64,Male,No high school diploma,White,"$15,000 to $24,999",40928
2008,18 to 64,Male,No high school diploma,White,"$25,000 to $34,999",27211
2008,18 to 64,Male,No high school diploma,White,"$35,000 to $49,999",32036
2008,18 to 64,Male,No high school diploma,White,"$50,000 to $74,999",32201
2008,18 to 64,Male,No high school diploma,White,"$75,000 and over",18951
2008,18 to 64,Male,No high school diploma,White,No Income,61446
2008,18 to 64,Male,No high school diploma,African American,"$5,000 to $9,999",13845
2008,18 to 64,Male,No high school diploma,African American,"$10,000 to $14,999",15232
2008,18 to 64,Male,No high school diploma,African American,"$15,000 to $24,999",8018
2008,18 to 64,Male,No high school diploma,African American,"$25,000 to $34,999",5881
2008,18 to 64,Male,No high school diploma,African American,"$35,000 to $49,999",2761
2008,18 to 64,Male,No high school diploma,African American,"$50,000 to $74,999",3656
2008,18 to 64,Male,No high school diploma,African American,"$75,000 and over",994
2008,18 to 64,Male,No high school diploma,African American,No Income,40690
2008,18 to 64,Male,No high school diploma,Asian,"$5,000 to $9,999",17660
2008,18 to 64,Male,No high school diploma,Asian,"$10,000 to $14,999",19965
2008,18 to 64,Male,No high school diploma,Asian,"$15,000 to $24,999",24555
2008,18 to 64,Male,No high school diploma,Asian,"$25,000 to $34,999",18659
2008,18 to 64,Male,No high school diploma,Asian,"$35,000 to $49,999",15660
2008,18 to 64,Male,No high school diploma,Asian,"$50,000 to $74,999",8629
2008,18 to 64,Male,No high school diploma,Asian,"$75,000 and over",2944
2008,18 to 64,Male,No high school diploma,Asian,No Income,22256
2008,18 to 64,Male,No high school diploma,Hispanic,"$5,000 to $9,999",152019
2008,18 to 64,Male,No high school diploma,Hispanic,"$10,000 to $14,999",236394
2008,18 to 64,Male,No high school diploma,Hispanic,"$15,000 to $24,999",479830
2008,18 to 64,Male,No high school diploma,Hispanic,"$25,000 to $34,999",274024
2008,18 to 64,Male,No high school diploma,Hispanic,"$35,000 to $49,999",198279
2008,18 to 64,Male,No high school diploma,Hispanic,"$50,000 to $74,999",112043
2008,18 to 64,Male,No high school diploma,Hispanic,"$75,000 and over",32678
2008,18 to 64,Male,No high school diploma,Hispanic,No Income,167966
2008,18 to 64,Male,No high school diploma,Other,"$5,000 to $9,999",4083
2008,18 to 64,Male,No high school diploma,Other,"$10,000 to $14,999",6349
2008,18 to 64,Male,No high school diploma,Other,"$15,000 to $24,999",9010
2008,18 to 64,Male,No high school diploma,Other,"$25,000 to $34,999",2839
2008,18 to 64,Male,No high school diploma,Other,"$35,000 to $49,999",3449
2008,18 to 64,Male,No high school diploma,Other,"$50,000 to $74,999",2164
2008,18 to 64,Male,No high school diploma,Other,"$75,000 and over",1134
2008,18 to 64,Male,No high school diploma,Other,No Income,7513
2008,18 to 64,Male,High school or equivalent,White,"$5,000 to $9,999",77442
